                      ECO00026                         COMA4-3    194.998001     27.9410    2560.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hlsp_coma_hst_acs-wfc_v24_f475w_v1_ivm-drz-cl
                      ECO00026                         COMA4-3    194.998001     27.9410    1400.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hlsp_coma_hst_acs-wfc_v24_f814w_v1_ivm-drz-cl
                      ECO00026                         COMA4-4    194.998001     27.9410    2560.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hlsp_coma_hst_acs-wfc_v25_f475w_v1_ivm-drz-cl
                      ECO00026                         COMA4-4    194.998001     27.9410    1400.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hlsp_coma_hst_acs-wfc_v25_f814w_v1_ivm-drz-cl
                      ECO00026                         COMA5-5    194.998001     27.9410    2677.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hlsp_coma_hst_acs-wfc_v33_f475w_v1_ivm-drz-cl
                      ECO00026                         COMA5-5    194.998001     27.9410    1400.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hlsp_coma_hst_acs-wfc_v33_f814w_v1_ivm-drz-cl
                      ECO00026                         COMA3-2    194.998001     27.9410    2677.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10861_16_acs_wfc_f475w
                      ECO00026                         COMA3-2    194.998001     27.9410    1400.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10861_16_acs_wfc_f814w
                      ECO00026                         COMA3-4    194.998001     27.9410    2677.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10861_18_acs_wfc_f475w
                      ECO00026                         COMA3-4    194.998001     27.9410    1400.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10861_18_acs_wfc_f814w
                      ECO00026                         COMA3-5    194.998001     27.9410    2677.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10861_19_acs_wfc_f475w
                      ECO00026                         COMA3-5    194.998001     27.9410    1400.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10861_19_acs_wfc_f814w
                      ECO00026                         COMA4-2    194.998001     27.9410    2677.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10861_23_acs_wfc_f475w
                      ECO00026                         COMA4-2    194.998001     27.9410    1400.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10861_23_acs_wfc_f814w
                      ECO00026                         COMA4-4    194.998001     27.9410    1280.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10861_25_acs_wfc_f475w
                      ECO00026                         COMA4-4    194.998001     27.9410     700.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10861_25_acs_wfc_f814w
                      ECO00026                         COMA5-5    194.998001     27.9410    2677.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10861_33_acs_wfc_f475w
